,Id,A_Score,Q_Score,Tag,Title,Q_Body,A_Body,P_Title_wo_freq,P_Q_Body_wo_freq,P_A_Body_wo_freq,ProcessedText
50,24007650,12,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>If you want to pass a parameter to the function from the NSTimer then here is your solution:</p>

<pre><code>var somethingToPass = ""It worked""

let timer = NSTimer.scheduledTimerWithTimeInterval(0.01, target: self, selector: ""tester:"", userInfo: somethingToPass, repeats: false)

func tester(timer: NSTimer)
{
    let theStringToPrint = timer.userInfo as String
    println(theStringToPrint)
}
</code></pre>

<p>Include the colon in the selector text (tester:), and your parameter(s) go in userInfo.</p>

<p>Your function should take NSTimer as a parameter.  Then just extract userInfo to get the parameter that passed.</p>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,want pass paramet function nstimer solut somethingtopass it work timer nstimerscheduledtimerwithtimeinterval001 target self selector tester userinfo somethingtopass repeat fals testertim nstimer thestringtoprint timeruserinfo printlnthestringtoprint includ colon selector text testerhappyfaceorsmiley paramet go userinfo function take nstimer paramet extract userinfo get paramet pass, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
43,24007650,69,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>Here's a quick example on how to use the <code>Selector</code> class on Swift:</p>

<pre><code>override func viewDidLoad() {
    super.viewDidLoad()

    var rightButton = UIBarButtonItem(title: ""Title"", style: UIBarButtonItemStyle.Plain, target: self, action: Selector(""method""))
    self.navigationItem.rightBarButtonItem = rightButton
}

func method() {
    // Something cool here   
}
</code></pre>

<p>Note that if the method passed as a string doesn't work, it will fail at runtime, not compile time, and crash your app. Be careful</p>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,here quick exampl selector overrid viewdidload superviewdidload rightbutton uibarbuttonitemtitl titl style uibarbuttonitemstyleplain target self action selectormethod selfnavigationitemrightbarbuttonitem rightbutton method someth cool note method pass work fail runtim compil time crash app care, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
44,24007650,8,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>Selectors are an internal representation of a method name in Objective-C. In Objective-C ""@selector(methodName)"" would convert a source-code method into a data type of SEL. Since you can't use the @selector syntax in Swift (rickster is on point there), you have to manually specify the method name as a String object directly, or by passing a String object to the Selector type. Here is an example:</p>

<pre><code>var rightBarButton = UIBarButtonItem(
    title: ""Logout"", 
    style: UIBarButtonItemStyle.Plain, 
    target: self, 
    action:""logout""
)
</code></pre>

<p>or </p>

<pre><code>var rightBarButton = UIBarButtonItem(
    title: ""Logout"", 
    style: UIBarButtonItemStyle.Plain, 
    target: self, 
    action:Selector(""logout"")
)
</code></pre>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,selector intern represent method name objectivec objectivec methodnam would convert sourcecod method data type sel sinc cannot syntax rickster point there manual specifi method name object directli pass object selector type exampl rightbarbutton uibarbuttonitem titl logout style uibarbuttonitemstyleplain target self actionlogout rightbarbutton uibarbuttonitem titl logout style uibarbuttonitemstyleplain target self actionselectorlogout, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
45,24007650,33,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>Also, if your (Swift) class does not descend from an Objective-C class, then you must have a colon at the end of the target method name string and you must use the @objc property with your target method e.g.</p>

<pre><code>var rightButton = UIBarButtonItem(title: ""Title"", style: UIBarButtonItemStyle.Plain, target: self, action: Selector(""method""))

@objc func method() {
    // Something cool here   
} 
</code></pre>

<p>otherwise you will get a ""Unrecognised Selector"" error at runtime.</p>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,also descend objectivec must colon end target method name must properti target method eg rightbutton uibarbuttonitemtitl titl style uibarbuttonitemstyleplain target self action selectormethod method someth cool otherwis get unrecognis selector runtim, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
46,24007650,0,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>you create the Selector like below.<br>
1.</p>

<pre><code>UIBarButtonItem(
    title: ""Some Title"",
    style: UIBarButtonItemStyle.Done,
    target: self,
    action: ""flatButtonPressed""
)
</code></pre>

<p>2.<br></p>

<pre><code>flatButton.addTarget(self, action: ""flatButtonPressed:"", forControlEvents: UIControlEvents.TouchUpInside)
</code></pre>

<p>Take note that the @selector syntax is gone and replaced with a simple String naming the method to call. Thereâs one area where we can all agree the verbosity got in the way. Of course, if we declared that there is a target method called flatButtonPressed: we better write one:<br></p>

<pre><code>func flatButtonPressed(sender: AnyObject) {
  NSLog(""flatButtonPressed"")
}
</code></pre>

<p>set the timer:<br></p>

<pre><code>    var timer = NSTimer.scheduledTimerWithTimeInterval(1.0, 
                    target: self, 
                    selector: Selector(""flatButtonPressed""), 
                    userInfo: userInfo, 
                    repeats: true)
    let mainLoop = NSRunLoop.mainRunLoop()  //1
    mainLoop.addTimer(timer, forMode: NSDefaultRunLoopMode) //2 this two line is optinal
</code></pre>

<p>In order to be complete, hereâs the flatButtonPressed  </p>

<pre><code>func flatButtonPressed(timer: NSTimer) {
}
</code></pre>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,creat selector like below 1 uibarbuttonitem titl some titl style uibarbuttonitemstyledon target self action flatbuttonpress 2 flatbuttonaddtargetself action flatbuttonpress forcontrolev uicontroleventstouchupinsid take note syntax gone replac simpl name method call there one area agre verbos got way cours declar target method call flatbuttonpress better write one flatbuttonpressedsend anyobject nslogflatbuttonpress set timer timer nstimerscheduledtimerwithtimeinterval10 target self selector selectorflatbuttonpress userinfo userinfo repeat true mainloop nsrunloopmainrunloop 1 mainloopaddtimertim formod nsdefaultrunloopmod 2 two line optin order complet here flatbuttonpress flatbuttonpressedtim nstimer, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
47,24007650,0,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>It may be useful to note where you setup the control that triggers the action matters.</p>

<p>For example, I have found that when setting up a UIBarButtonItem, I had to create the button within viewDidLoad or else I would get an unrecognized selector exception.</p>

<pre><code>override func viewDidLoad() {
        super.viewDidLoad()


        // add button
        let addButton = UIBarButtonItem(image: UIImage(named: ""746-plus-circle.png""), style: UIBarButtonItemStyle.Plain, target: self, action: Selector(""addAction:""))
        self.navigationItem.rightBarButtonItem = addButton
    }


    func addAction(send: AnyObject?) {

        NSLog(""addAction"")
    }
</code></pre>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,may note setup control trigger action matter exampl found set uibarbuttonitem creat button within viewdidload els would get unrecogn selector except overrid viewdidload superviewdidload add button addbutton uibarbuttonitemimag uiimagenam 746pluscirclepng style uibarbuttonitemstyleplain target self action selectoraddact selfnavigationitemrightbarbuttonitem addbutton addactionsend anyobject nslogaddact, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
48,24007650,15,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>Just in case somebody else have the same problem I had with NSTimer where none of the other answers fixed the issue, is really important to mention that, if you are using a class that do not inherits from NSObject either directly or deep in the hierarchy(e.g. manually created swift files), none of the other answers will work even when is specified as follows:</p>

<pre><code>let timer = NSTimer(timeInterval: 1, target: self, selector: ""test"", 
                    userInfo: nil, repeats: false)
func test () {}
</code></pre>

<p>Without changing anything else other than just making the class inherit from NSObject I stopped getting the ""Unrecognized selector"" Error and got my logic working as expected.</p>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,case somebodi els problem nstimer none answer fix issu realli import mention that inherit nsobject either directli deep hierarchyeg manual creat file none answer work even specifi follow timer nstimertimeinterv 1 target self selector test userinfo nil repeat fals test without chang anyth els make inherit nsobject stop get unrecogn selector got logic work expect, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
49,24007650,4,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<pre><code>Create Refresh control using Selector method.   
    var refreshCntrl : UIRefreshControl!
    refreshCntrl = UIRefreshControl()
    refreshCntrl.tintColor = UIColor.whiteColor()
    refreshCntrl.attributedTitle = NSAttributedString(string: ""Please Wait..."")
    refreshCntrl.addTarget(self, action:""refreshControlValueChanged"", forControlEvents: UIControlEvents.ValueChanged)
    atableView.addSubview(refreshCntrl)
</code></pre>

<p>//Refresh Control Method</p>

<pre><code>func refreshControlValueChanged(){
    atableView.reloadData()
    refreshCntrl.endRefreshing()

}
</code></pre>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,creat refresh control selector method refreshcntrl uirefreshcontrol refreshcntrl uirefreshcontrol refreshcntrltintcolor uicolorwhitecolor refreshcntrlattributedtitl nsattributedstringstr pleas wait refreshcntrladdtargetself actionrefreshcontrolvaluechang forcontrolev uicontroleventsvaluechang atableviewaddsubviewrefreshcntrl refresh control method refreshcontrolvaluechang atableviewreloaddata refreshcntrlendrefresh, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
42,24007650,722,471,swift,@selector() in Swift?,"<p>I'm trying to create an <code>NSTimer</code> in <code>Swift</code> but I'm having some trouble.</p>

<pre><code>NSTimer(timeInterval: 1, target: self, selector: test(), userInfo: nil, repeats: true)
</code></pre>

<p><em><code>test()</code> is a function in the same class.</em></p>

<hr>

<p>I get an error in the editor: </p>

<blockquote>
  <p>Could not find an overload for 'init' that accepts the supplied
  arguments</p>
</blockquote>

<p>When I change <code>selector: test()</code> to <code>selector: nil</code> the error disappears.</p>

<p>I've tried:</p>

<ul>
<li><code>selector: test()</code></li>
<li><code>selector: test</code></li>
<li><code>selector: Selector(test())</code></li>
</ul>

<p>But nothing works and I can't find a solution in the references.</p>
","<p>Swift <em>itself</em> doesn't use selectors â several design patterns that in Objective-C make use of selectors work differently in Swift. (For example, use optional chaining on protocol types or <code>is</code>/<code>as</code> tests instead of <code>respondsToSelector:</code> tests, and use closures wherever you can instead of <code>performSelector:</code> for better type/memory safety.)</p>

<p>But there are still a number of important ObjC-based APIs that use selectors, including timers and the target/action pattern. Swift provides the <code>Selector</code> type for working with these. (Swift automatically uses this in place of ObjC's <code>SEL</code> type.)</p>

<h3>In Swift 2.2 (Xcode 7.3) and later (including Swift 3 / Xcode 8):</h3>

<p>You can construct a <code>Selector</code> from a Swift function type using the <code>#selector</code> expression.</p>

<pre><code>let timer = NSTimer(timeInterval: 1, target: object,
                    selector: #selector(MyClass.test),
                    userInfo: nil, repeats: false)
button.addTarget(object, action: #selector(MyClass.buttonTapped),
                 forControlEvents: .TouchUpInside)
view.performSelector(#selector(UIView.insertSubview(_:aboveSubview:)),
                     withObject: button, withObject: otherButton)
</code></pre>

<p>The great thing about this approach? A function reference is checked by the Swift compiler, so you can use the <code>#selector</code> expression only with class/method pairs that actually exist and are eligible for use as selectors (see ""Selector availability"" below). You're also free to make your function reference only as specific as you need, as per <a href=""https://developer.apple.com/library/prerelease/mac/documentation/Swift/Conceptual/Swift_Programming_Language/Expressions.html#//apple_ref/doc/uid/TP40014097-CH32-ID400"" rel=""nofollow"">the new Swift 2.2 rules for function naming</a>.</p>

<p>(This is actually an improvement over ObjC's <code>@selector()</code> directive, because the compiler's <code>-Wundeclared-selector</code> check verifies only that the named selector exists. The Swift function reference you pass to <code>#selector</code> checks existence, membership in a class, and type signature.)</p>

<p>Sometimes you don't have a function reference to make a selector with (for example, with actions bound to the first responder, Cocoa KVC accessors, or methods dynamically registered in the ObjC runtime). In that case, you can construct a <code>Selector</code> from a string: e.g. <code>Selector(""paste:"")</code> â though you lose the compiler's validity checking.</p>

<p>There are a couple of extra caveats for the function references you pass to the <code>#selector</code> expression:</p>

<ul>
<li>Multiple functions with the same base name can be differentiated by their parameter labels using the aforementioned <a href=""https://developer.apple.com/library/prerelease/mac/documentation/Swift/Conceptual/Swift_Programming_Language/Expressions.html#//apple_ref/doc/uid/TP40014097-CH32-ID400"" rel=""nofollow"">syntax for function references</a> (e.g. <code>insertSubview(_:at:)</code> vs <code>insertSubview(_:aboveSubview:)</code>). But if a function has no parameters, the only way to disambiguate it is to use an <code>as</code> cast with the function's type signature (e.g. <code>foo as () -&gt; ()</code> vs <code>foo(_:)</code>).</li>
<li>Swift doesn't know about the ObjC accessors for property getter/setter pairs. So, for example, given a <code>var foo: Int</code>, there isn't a <code>func setFoo(_:)</code> that you can construct a <code>#selector</code> from, even though there is a <code>Selector(setFoo:)</code>.</li>
</ul>

<h3>General notes:</h3>

<p><strong>Selector availability:</strong> The method referenced by the selector must be exposed to the ObjC runtime. This is already the case if it's in a class that (ultimately) inherits from <code>NSObject</code>, but if it's in a pure Swift class you'll need to preface that method's declaration with <code>@objc</code>. Remember that <code>private</code> symbols aren't exposed to the runtime, too â your method needs to have at least <code>internal</code> visibility.</p>

<p><strong>Selector names:</strong> Because selectors are an ObjC thing, they follow ObjC method naming rules, including colons (<code>:</code>) for each parameter. For example, the selector for a method named  <code>test()</code> is just <code>""test""</code>, but the selector for <code>test(this: String)</code> is <code>""test:""</code>, and for <code>test(this: String, andThat: Int)</code> it's <code>""test:andThat:""</code>. Note that as the relationship between Swift and ObjC evolves, the names of some ObjC methods and their Swift syntax may diverge â but you can always <a href=""https://developer.apple.com/library/prerelease/ios/documentation/Swift/Conceptual/BuildingCocoaApps/InteractingWithObjective-CAPIs.html#//apple_ref/doc/uid/TP40014216-CH4-ID53"" rel=""nofollow"">use the <code>@objc()</code> attribute</a> to control how a Swift method is exposed to ObjC.</p>

<p>You can read more about selectors under <a href=""https://developer.apple.com/library/prerelease/ios/documentation/Swift/Conceptual/BuildingCocoaApps/InteractingWithObjective-CAPIs.html#//apple_ref/doc/uid/TP40014216-CH4-XID_26"" rel=""nofollow"">Interacting with Objective-C APIs</a> in <em>Using Swift with Cocoa and Objective-C</em>.</p>

<p><sup><strong>Note:</strong> Before Swift 2.2, <code>Selector</code> conformed to <code>StringLiteralConvertible</code>, so you might find old code where bare strings are passed to APIs that take selectors. You'll want to run the migratory to get those converted to <code>#selector</code> syntax.</sup></p>
",,creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer,selector sever design pattern objectivec make selector work differ for exampl option chain protocol type isa test instead respondstoselector test closur wherev instead performselector better typememori safeti still number import objcbas api selector includ timer targetact pattern provid selector type work these automat place objc sel type 22 xcode 73 later includ 3 xcode 8 construct selector function type selector express timer nstimertimeinterv 1 target object selector selectormyclasstest userinfo nil repeat fals buttonaddtargetobject action selectormyclassbuttontap forcontrolev touchupinsid viewperformselectorselectoruiviewinsertsubviewabovesubviewhappyfaceorsmiley withobject button withobject otherbutton great thing approach function refer check compil selector express classmethod pair actual exist elig selector see selector avail below also free make function refer specif need per new 22 rule function name thi actual improv objc direct compil wundeclaredselector check verifi name selector exist function refer pass selector check exist membership type signatur sometim function refer make selector for exampl action bound first respond cocoa kvc accessor method dynam regist objc runtim case construct selector eg selectorpast though lose compil valid check coupl extra caveat function refer pass selector express multipl function base name differenti paramet label aforement syntax function refer eg insertsubviewathappyfaceorsmiley vs insertsubviewabovesubviewhappyfaceorsmiley function paramet way disambigu cast function type signatur eg foo gt vs foohappyfaceorsmiley know objc accessor properti gettersett pair so exampl given foo int setfoohappyfaceorsmiley construct selector from even though selectorsetfoohappyfaceorsmiley gener note selector avail method referenc selector must expos objc runtim alreadi case ultim inherit nsobject pure shall need prefac method declar rememb privat symbol expos runtim method need least intern visibl selector name selector objc thing follow objc method name rule includ colon happyfaceorsmiley paramet exampl selector method name test test selector testthi test testthi andthat int testandthat note relationship objc evolv name objc method syntax may diverg alway attribut control method expos objc read selector interact objectivec api cocoa objectivec note 22 selector conform stringliteralconvert might find old bare pass api take selector shall want run migratori get convert selector syntax, creat nstimer troubl nstimertimeinterv 1 target self selector test userinfo nil repeat true test function get editor could find overload init accept suppli argument chang selector test selector nil disappear selector test selector test selector selectortest noth work cannot find solut refer
173,24049020,396,205,swift,NSNotificationCenter addObserver in Swift,"<p>How do you add an observer in Swift to the default notification center?  I'm trying to port this line of code that sends a notification when the battery level changes.</p>

<pre><code>[[NSNotificationCenter defaultCenter] addObserver:self selector:@selector(batteryLevelChanged:) name:UIDeviceBatteryLevelDidChangeNotification object:nil];
</code></pre>
","<h1>For Xcode 7.3 and Above Versions:</h1>

<p><strong>Send(Post) Notification</strong></p>

<pre><code>    NSNotificationCenter.defaultCenter().postNotificationName(""NotificationIdentifier"", object: nil)
</code></pre>

<p><strong>Receive(Get) Notification</strong></p>

<pre><code>    NSNotificationCenter.defaultCenter().addObserver(self, selector: #selector(YourClassName.methodOfReceivedNotification(_:)), name:""NotificationIdentifier"", object: nil)
</code></pre>

<p><strong>Method handler for received Notification</strong></p>

<pre><code>func methodOfReceivedNotification(notification: NSNotification){
    //Take Action on Notification
}
</code></pre>

<hr>

<hr>

<hr>

<p><strong><em>For historic Xcode versions...</em></strong></p>

<hr>

<p><em>Send and Receive Notification</em></p>

<p><strong>Send(Post) Notification</strong></p>

<pre><code>NSNotificationCenter.defaultCenter().postNotificationName(""NotificationIdentifier"", object: nil)
</code></pre>

<p><strong>Receive(Get) Notification</strong></p>

<pre><code>NSNotificationCenter.defaultCenter().addObserver(self, selector: ""methodOfReceivedNotification:"", name:""NotificationIdentifier"", object: nil)
</code></pre>

<p><strong>Remove Notification</strong></p>

<pre><code>NSNotificationCenter.defaultCenter().removeObserver(self, name: ""NotificationIdentifier"", object: nil)
NSNotificationCenter.defaultCenter().removeObserver(self) // Remove from all notifications being observed
</code></pre>

<p><strong>Method handler for received Notification</strong></p>

<pre><code>func methodOfReceivedNotification(notification: NSNotification){
    //Take Action on Notification
}
</code></pre>

<p><strong>Annotate either the class or the target method with @objc</strong></p>

<pre><code>@objc private func methodOfReceivedNotification(notification: NSNotification){
    //Take Action on Notification
}

//Or

dynamic private func methodOfReceivedNotification(notification: NSNotification){
    //Take Action on Notification
}
</code></pre>
",nsnotificationcent addobserv,add observ default notif center port line code send notif batteri level chang nsnotificationcent defaultcent addobserverself selectorbatterylevelchangedhappyfaceorsmiley nameuidevicebatteryleveldidchangenotif objectnil,xcode 73 version sendpost notif nsnotificationcenterdefaultcenterpostnotificationnamenotificationidentifi object nil receiveget notif nsnotificationcenterdefaultcenteraddobserverself selector selectoryourclassnamemethodofreceivednotificationhappyfaceorsmiley namenotificationidentifi object nil method handler receiv notif methodofreceivednotificationnotif nsnotif take action notif histor xcode version send receiv notif sendpost notif nsnotificationcenterdefaultcenterpostnotificationnamenotificationidentifi object nil receiveget notif nsnotificationcenterdefaultcenteraddobserverself selector methodofreceivednotif namenotificationidentifi object nil remov notif nsnotificationcenterdefaultcenterremoveobserverself name notificationidentifi object nil nsnotificationcenterdefaultcenterremoveobserverself remov notif observ method handler receiv notif methodofreceivednotificationnotif nsnotif take action notif annot either target method privat methodofreceivednotificationnotif nsnotif take action notif or dynam privat methodofreceivednotificationnotif nsnotif take action notif,nsnotificationcent addobserv add observ default notif center port line code send notif batteri level chang nsnotificationcent defaultcent addobserverself selectorbatterylevelchangedhappyfaceorsmiley nameuidevicebatteryleveldidchangenotif objectnil
